Bigram,Count
and-recommendations,40
and-reconnects,40
and-red,2
and-reduced,40
and-referred,40
and-reflective,40
and-reflects,40
and-refrigerated,40
and-refrigerators,40
and-refund,40
and-refused,40
and-registered,40
and-regretted,40
and-regular,12
and-reheat,10
and-reheated,40
and-reheating,23
and-reheats,40
and-reinstalling,40
and-relatively,40
and-reliability,40
and-reliable,2
and-remain,40
and-remote,40
and-remove,40
and-removes,40
and-removing,40
and-repeatedly,40
and-replace,28
and-replaced,10
and-replacement,2
and-replugged,40
and-replugging,40
and-report,40
and-reporting,40
and-requested,40
and-require,40
and-required,40
and-requires,7
and-resent,40
and-reset,40
and-resets,40
and-resetting,15
and-resisting,40
and-responsive,40
and-rest,40
and-restart,40
and-restarted,40
and-restarts,40
and-resubmitted,40
and-resulting,40
and-results,40
and-resume,40
and-retired,40
and-retro,40
and-return,40
and-returned,21
and-returning,40
and-reviewed,40
and-right,15
and-ring,40
and-ripped,40
and-rivets,40
and-roller,40
and-room,40
and-roomy,40
and-rotate,40
and-rotating,2
and-round,15
and-rounded,40
and-rubber,40
and-run,2
and-running,2
and-runs,23
and-rust,7
and-rusting,40
and-rusty,40
and-sadly,40
and-safety,40
and-said,5
and-same,40
and-sanitized,40
and-satisfied,40
and-sauce,40
and-sausage,40
and-save,15
and-saved,2
and-saves,40
and-saving,40
and-saw,17
and-say,40
and-says,40
and-scary,40
and-schedule,40
and-scheduled,40
and-scrambled,40
and-scratches,40
and-screen,40
and-scuffed,40
and-search,40
and-second,40
and-seconds,19
and-see,10
and-seeing,40
and-seemed,40
and-seems,16
and-seen,40
and-selection,40
and-sell,2
and-semi,40
and-send,40
and-sending,40
and-sensor,40
and-sent,19
and-separate,40
and-serial,21
and-seriously,15
and-served,40
and-serves,40
and-set,4
and-settings,2
and-settled,40
and-setup,15
and-sety,40
and-seven,40
and-several,40
and-shabby,40
and-shakes,40
and-shattered,40
and-she,1
and-shedding,40
and-shielding,40
and-shifting,40
and-shiny,40
and-ship,40
and-shipped,15
and-shipper,40
and-shipping,21
and-shooting,40
and-shop,40
and-shorter,40
and-should,2
and-show,40
and-shows,12
and-shut,31
and-shuts,40
and-side,2
and-sides,19
and-silver,40
and-similar,40
and-simple,40
and-simpler,40
and-since,8
and-sit,40
and-sits,40
and-sitting,40
and-size,14
and-sizes,40
and-skills,40
and-skips,40
and-slamming,40
and-slaps,40
and-sleek,12
and-slides,26
and-sliding,40
and-slightly,40
and-slow,40
and-slower,40
and-slowly,15
and-small,14
and-smaller,40
and-smears,40
and-smell,15
and-smellded,40
and-smelled,40
and-smells,40
and-smoke,40
and-smoked,40
and-smokes,40
and-smoking,40
and-smooth,40
and-smudges,40
and-snags,40
and-snap,40
and-snapped,40
and-so,18
and-soft,2
and-soften,10
and-soggy,40
and-sold,40
and-solid,40
and-solve,40
and-some,2
and-someone,40
and-something,40
and-sometimes,32
and-somewhat,40
and-somewhere,40
and-sorely,40
and-sorry,40
and-sort,40
and-soul,40
and-sound,40
and-sounded,40
and-sounds,30
and-source,40
and-space,40
and-spacious,40
and-sparked,40
and-sparking,40
and-sparks,40
and-specifically,40
and-speed,40
and-spend,40
and-spending,40
and-spent,40
and-spill,2
and-spilling,40
and-spin,40
and-spinner,40
and-spins,40
and-splattering,40
and-spoke,2
and-spritz,40
and-sputtering,40
and-squeaks,40
and-squealing,40
and-stability,40
and-stainless,33
and-stamped,40
and-start,9
and-started,26
and-starts,15
and-statements,40
and-stayed,40
and-stays,15
and-steadily,40
and-steady,40
and-steam,40
and-steaming,2
and-steamy,40
and-stick,40
and-stiffer,40
and-still,3
and-stinking,40
and-stir,40
and-stirring,40
and-stop,2
and-stopped,30
and-stops,40
and-stored,40
and-storms,40
and-straight,40
and-stray,40
and-strongly,40
and-struggled,40
and-stuck,40
and-studied,40
and-sturdy,40
and-style,15
and-stylish,16
and-submitted,40
and-submitting,40
and-such,21
and-suddenly,40
and-suggested,40
and-super,19
and-support,40
and-supported,40
and-sure,21
and-surges,40
and-surprisingly,40
and-take,23
and-takes,1
and-taking,25
and-talk,40
and-talked,40
and-tall,40
and-tape,2
and-taped,40
and-taxes,40
and-tear,40
and-tech,40
and-tedious,40
and-tell,2
and-tells,40
and-temperature,40
and-temperatures,40
and-temps,40
and-ten,40
and-terminated,40
and-terminates,40
and-test,2
and-tested,40
and-than,40
and-thank,40
and-thankfully,2
and-that,2
and-thaw,15
and-thawing,40
and-the,4
and-their,12
and-then,13
and-there,10
and-therefor,40
and-therefore,40
and-theres,23
and-thermometer,40
and-these,40
and-they,19
and-things,2
and-think,40
and-third,40
and-this,8
and-thorough,40
and-thoroughly,40
and-those,15
and-though,15
and-thought,31
and-threatening,40
and-three,40
and-threw,2
and-throw,40
and-throwing,40
and-thus,2
and-time,2
and-timer,2
and-timing,40
and-tired,40
and-to,10
and-toast,40
and-toaster,40
and-today,40
and-told,15
and-tons,40
and-too,31
and-took,21
and-top,2
and-torn,40
and-totally,40
and-touch,40
and-tray,40
and-trays,40
and-tried,35
and-tries,40
and-trim,2
and-triple,40
and-tripped,40
and-tripping,40
and-trips,40
and-troubleshooting,40
and-truly,40
and-try,32
and-trying,40
and-tumbled,40
and-turkey,40
and-turn,4
and-turned,40
and-turning,40
and-turns,40
and-turntable,2
and-twenty,40
and-twice,40
and-twirl,40
and-two,2
and-ugly,40
and-ultimately,40
and-un,40
and-unanswered,40
and-uncomfortable,40
and-uncomplicated,40
and-uncooked,40
and-undamaged,40
and-under,40
and-understand,40
and-uneasy,40
and-uneven,40
and-unexpected,40
and-unfortunately,15
and-unintuitive,40
and-unlike,2
and-unplug,40
and-unplugged,40
and-unreliable,40
and-unresponsive,40
and-unsafe,40
and-until,40
and-unusable,40
and-update,40
and-upon,40
and-upset,40
and-use,20
and-useable,40
and-used,10
and-useful,40
and-useless,40
and-uselessly,40
and-user,40
and-using,12
and-utensils,40
and-utter,40
and-vacillates,40
and-value,40
and-vegetable,40
and-veggies,40
and-very,11
and-vibrates,40
and-vinegar,40
and-virtually,40
and-visibility,2
and-visually,40
and-wad,40
and-wait,15
and-waited,40
and-waiting,40
and-waitng,40
and-wakes,40
and-walk,2
and-walked,40
and-wall,40
and-want,15
and-wanted,26
and-wanting,40
and-warm,2
and-warming,12
and-warms,40
and-warrantees,40
and-warranty,40
and-was,13
and-waste,40
and-wasting,40
and-watch,40
and-watched,2
and-water,40
and-wattage,6
and-watts,21
and-waveguide,40
and-way,40
and-we,2
and-website,40
and-websites,40
and-wedged,40
and-weeks,2
and-weighed,40
and-weighs,40
and-weight,40
and-well,27
and-went,2
and-were,12
and-what,14
and-whatever,2
and-wheel,40
and-wheels,40
and-when,14
and-where,2
and-which,40
and-while,30
and-whimpy,40
and-whistles,30
and-white,23
and-who,40
and-whoops,40
and-wide,2
and-width,2
and-widths,40
and-wifi,40
and-will,16
and-wipe,2
and-wiped,40
and-wish,40
and-with,2
and-within,40
and-without,40
and-wondered,40
and-wonderful,40
and-wont,40
and-work,21
and-worked,22
and-working,21
and-works,31
and-worried,40
and-worse,40
and-worst,40
and-worth,40
and-would,9
and-wrote,40
and-years,15
and-yes,26
and-yesterday,40
and-yet,40
and-you,2
and-your,12
and-youre,19
and-yucked,40
and-zapping,40
android-phone,40
ands-occasionally,40
ands-works,40
angle-it,40
angle-on,40
angle-or,40
angle-thing,40
angled-up,40
angry-about,40
angry-at,40
angry-buzz,40
angry-ghost,40
angry-it,40
angry-product,40
annoy-me,40
annoyance-but,21
annoyance-if,40
annoyance-is,2
annoyed-at,40
annoyed-me,40
annoyed-that,40
annoyed-with,40
annoying-about,40
annoying-after,40
annoying-and,17
annoying-as,40
annoying-at,40
annoying-because,2
annoying-beep,40
annoying-beeper,40
annoying-beeping,15
annoying-beeps,40
annoying-but,40
annoying-clunking,40
annoying-dial,40
annoying-especially,40
annoying-fault,40
annoying-feature,40
annoying-features,40
annoying-if,40
annoying-it,2
annoying-jingle,40
annoying-kind,40
annoying-loud,40
annoying-microwave,40
annoying-noise,40
annoying-quirk,40
annoying-quirks,40
annoying-rattling,40
annoying-reminder,40
annoying-series,40
annoying-sounds,40
annoying-that,15
annoying-the,2
annoying-thing,40
annoying-to,28
annoying-was,40
annoying-waste,40
annoying-when,23
annoying-winding,40
annoyingly-loud,40
annoys-me,40
annunciator-is,40
another-after,40
another-and,40
another-another,40
another-app,40
another-appliance,15
another-area,12
another-as,40
another-available,40
another-badly,40
another-big,40
another-black,25
another-bonus,40
another-boomer,40
another-brand,30
another-broken,40
another-built,40
another-but,2
another-button,40
another-buyer,40
another-chance,40
another-cheap,40
another-choice,40
another-commenter,40
another-common,40
another-company,40
another-customer,40
another-cycle,40
another-day,2
another-department,40
another-device,40
another-dish,40
another-disposable,40
another-downgrade,40
another-email,40
another-error,40
another-example,40
another-full,40
another-function,40
another-gadget,40
another-ge,19
another-great,40
another-hidden,40
another-in,40
another-instruction,40
another-issue,40
another-item,40
another-larger,40
another-light,40
another-line,40
another-locally,40
another-long,40
another-machine,40
another-manufacturer,2
another-message,40
another-micro,2
another-microwave,11
another-minute,12
another-mode,40
another-model,40
another-month,40
another-new,40
another-of,40
another-on,40
another-one,13
another-or,40
another-order,40
another-outlet,40
another-panasonic,15
another-part,40
another-photo,40
another-piece,15
another-problem,40
another-product,40
another-reason,40
another-rep,40
another-representative,40
another-review,2
another-reviewer,40
another-right,40
another-room,2
another-shipping,40
another-similarly,40
another-since,2
another-size,40
another-small,15
another-star,40
another-state,40
another-story,40
another-strange,40
another-that,40
another-thing,19
another-time,2
another-to,12
another-two,40
another-unit,40
another-value,40
another-week,21
another-when,40
another-which,40
another-white,40
another-whole,40
another-with,40
another-would,40
another-year,40
ans-it,40
answer-and,40
answer-the,15
answer-to,40
answer-was,40
answer-your,40
answered-a,40
answered-after,40
answered-and,40
answered-by,40
answered-immediately,40
answered-yes,40
answering-of,40
answering-operational,40
answering-that,40
answers-and,40
answers-from,40
answers-the,40
answers-to,40
answers-ultimately,40
anticipate-the,40
anticipated-and,40
anticipated-taking,40
anticipating-the,40
antiquated-electrical,40
antique-but,40
antique-microwave,40
ants-sometimes,40
ants-were,40
anxious-to,40
anxious-when,40
any-additional,40
any-ambient,40
any-appliance,40
any-appliances,2
any-area,40
any-assistance,40
any-awards,40
any-bad,40
any-before,40
any-better,40
any-bigger,40
any-boilover,40
any-bowl,40
any-bowls,40
any-break,40
any-bugs,40
any-business,40
any-button,40
any-buttons,15
any-case,2
any-cause,40
any-changes,40
any-circumstance,40
any-cold,40
any-condensation,40
any-confidence,40
any-cons,40
any-contrast,40
any-cook,40
any-cooked,40
any-countertop,40
any-damage,15
any-day,40
any-decent,40
any-decor,40
any-dent,40
any-desired,40
any-devices,40
any-difference,2
any-dinner,40
any-dish,2
any-easier,2
any-email,40
any-extended,40
any-extra,40
any-fancy,40
any-fans,40
any-feature,40
any-flaws,40
any-food,10
any-foreign,40
any-frozen,40
any-further,40
any-future,40
any-given,40
any-good,40
any-hardware,40
any-hassle,40
any-help,40
any-hooking,40
any-hookup,40
any-house,40
any-independent,40
any-information,40
any-inputs,40
any-inspection,40
any-instructions,40
any-instrumented,40
any-issue,40
any-issues,40
any-items,40
any-keypad,40
any-kind,21
any-kitchen,40
any-lack,40
any-large,40
any-length,40
any-less,40
any-living,40
any-longer,2
any-luck,40
any-means,40
any-mess,40
any-metal,40
any-micro,40
any-microwave,21
any-minutes,40
any-model,40
any-moment,40
any-money,40
any-more,15
any-moving,40
any-new,40
any-notches,40
any-number,40
any-numbers,40
any-of,2
any-ofhat,40
any-other,2
any-outstanding,40
any-oven,40
any-oversized,40
any-packaging,40
any-particles,40
any-pictures,40
any-plate,40
any-popcorn,40
any-power,40
any-pressure,40
any-problem,40
any-problems,26
any-product,2
any-protruding,40
any-quality,2
any-questions,40
any-raised,40
any-rate,40
any-rating,40
any-reason,40
any-reasonable,40
any-recalls,40
any-recipe,40
any-regrets,40
any-remaining,40
any-replacements,40
any-residual,40
any-response,40
any-responsibility,40
any-review,40
any-room,40
any-sane,40
any-satisfaction,40
any-scratches,40
any-seconds,40
any-sense,40
any-serious,40
any-setting,40
any-sign,40
any-signs,40
any-situation,40
any-small,40
any-smaller,40
any-smoke,40
any-smooth,40
any-sort,15
any-sound,40
any-space,40
any-spill,40
any-stainless,40
any-strange,40
any-success,40
any-such,40
any-super,40
any-support,40
any-task,40
any-tests,40
any-thing,40
any-time,23
any-trouble,2
any-troubleshooting,40
any-type,15
any-use,40
any-ventilation,40
any-wall,40
any-warranties,40
any-warranty,40
any-way,28
any-weight,40
any-white,40
any-wiser,40
anybody-else,40
anybody-should,40
anybody-who,40
anymore-after,40
anymore-and,40
anymore-but,12
anymore-exactly,40
anymore-for,40
anymore-items,40
anymore-not,40
anymore-with,40
anyone-and,40
anyone-at,40
anyone-away,40
anyone-because,40
anyone-but,40
anyone-buy,40
anyone-contacts,40
anyone-else,12
anyone-even,40
anyone-for,40
anyone-found,40
anyone-get,40
anyone-getting,40
anyone-in,2
anyone-know,40
anyone-knows,40
anyone-living,40
anyone-looking,40
anyone-needing,40
anyone-our,40
anyone-out,40
anyone-purchase,40
anyone-that,21
anyone-to,40
anyone-via,40
anyone-who,2
anyone-with,40
anyone-without,15
anything-about,15
anything-again,40
anything-along,40
anything-and,12
anything-as,40
anything-at,21
anything-because,40
anything-being,40
anything-big,2
anything-bigger,21
anything-but,23
anything-changes,12
anything-compared,40
anything-complicated,40
anything-correctly,40
anything-electronic,40
anything-else,9
anything-except,2
anything-fancy,40
anything-faster,40
anything-finishes,40
anything-for,2
anything-from,25
anything-go,40
anything-goes,40
anything-happens,40
anything-heavy,40
anything-i,2
anything-in,10
anything-inside,2
anything-is,15
anything-it,15
anything-large,2
anything-larger,2
anything-lately,40
anything-like,17
anything-made,40
anything-metal,40
anything-more,40
anything-near,2
anything-new,40
anything-off,40
anything-on,7
anything-onto,40
anything-or,40
anything-other,40
anything-out,40
anything-outside,2
anything-over,15
anything-remotely,40
anything-replacing,40
anything-resembling,40
anything-showing,40
anything-slightly,40
anything-smaller,40
anything-so,10
anything-special,40
anything-substantial,40
anything-super,40
anything-than,40
anything-that,2
anything-the,40
anything-thick,40
anything-this,2
anything-to,12
anything-too,40
anything-until,40
anything-unusual,40
anything-up,40
anything-using,40
anything-warmed,40
anything-we,40
anything-were,40
anything-when,40
anything-which,2
anything-with,21
anything-without,40
anything-you,40
anytime-use,40
anyway-and,40
anyway-but,40
anyway-how,40
anyway-this,19
anywhere-and,2
anywhere-arpt,40
anywhere-either,40
anywhere-else,40
anywhere-from,40
anywhere-left,40
anywhere-near,40
anywhere-on,40
apart-again,40
apart-and,40
apart-but,40
apart-from,40
apart-inside,40
apart-just,40
apart-on,40
apart-per,40
apart-that,40
apart-though,40
apartment-and,18
apartment-but,40
apartment-for,2
apartment-has,2
apartment-in,40
apartment-kitchen,40
apartment-microwave,2
apartment-number,40
apartment-or,19
apartment-so,2
apartment-temporarily,40
apartment-that,2
apartment-units,40
apartment-use,40
apartment-was,40
apartment-where,40
apartment-with,40
apartment-without,2
apartments-and,2
apartments-with,40
apologize-for,40
apostrophe-at,40
app-always,40
app-and,2
app-as,40
app-before,2
app-beg,40
app-both,40
app-clearly,40
app-company,40
app-developer,40
app-did,40
app-easily,40
app-for,12
app-has,40
app-in,40
app-initially,40
app-is,15
app-its,40
app-itself,40
app-login,40
app-on,40
app-or,12
app-permission,40
app-reverting,40
app-reviews,40
app-say,40
app-seems,40
app-sees,40
app-sitting,40
app-that,32
app-the,40
app-to,19
app-up,40
app-used,40
app-very,40
app-was,40
app-will,40
app-with,40
app-works,40
app-yet,40
app-you,15
apparent-between,40
apparent-damage,40
apparent-poor,40
apparent-reason,40
apparent-something,40
apparent-start,40
apparent-that,40
apparently-a,40
apparently-and,40
apparently-by,40
apparently-common,40
apparently-contracted,40
apparently-deceptive,40
apparently-expired,40
apparently-from,40
apparently-gets,40
apparently-it,40
apparently-many,40
apparently-misled,40
apparently-neither,40
apparently-sat,40
apparently-the,15
apparently-this,12
apparently-was,40
appealed-their,40
appealing-next,40
appealing-this,40
appealing-when,40
appear-that,40
appear-to,2
appearance-and,40
appearance-but,40
appearance-is,2
appearance-looks,40
appearance-of,40
appearance-over,40
appearance-will,40
appeared-as,40
appeared-at,40
appeared-for,40
appeared-normal,40
appeared-that,40
appeared-to,19
appeared-when,40
appearing-as,40
appearing-between,40
appearing-under,40
appears-and,40
appears-brighter,40
appears-fully,40
appears-high,40
appears-larger,40
appears-on,40
appears-that,40
appears-the,40
appears-these,40
appears-to,7
apple-turnovers,40
appliance-again,40
appliance-alone,40
appliance-and,2
appliance-anyway,40
appliance-around,40
appliance-as,40
appliance-at,40
appliance-because,40
appliance-breaks,40
appliance-bulb,40
appliance-business,40
appliance-but,21
appliance-collection,40
appliance-coverage,40
appliance-dealer,40
appliance-ever,40
appliance-every,40
appliance-fits,40
appliance-for,7
appliance-from,40
appliance-garage,40
appliance-garagei,40
appliance-has,2
appliance-in,15
appliance-is,7
appliance-it,19
appliance-kept,40
appliance-less,40
appliance-level,40
appliance-like,15
appliance-look,40
appliance-makers,40
appliance-met,40
appliance-off,40
appliance-on,2
appliance-online,40
appliance-or,40
appliance-over,40
appliance-physically,40
appliance-primarily,40
appliance-purchase,40
appliance-purchases,40
appliance-quality,40
appliance-receipt,40
appliance-repair,40
appliance-reviews,40
appliance-should,40
appliance-so,40
appliance-store,40
appliance-stores,40
appliance-taking,40
appliance-that,3
appliance-through,40
appliance-to,7
appliance-today,40
appliance-turns,40
appliance-unplugged,40
appliance-via,40
appliance-when,40
appliance-which,40
appliance-with,40
appliance-work,40
appliance-works,40
appliance-would,40
appliances-again,2
appliances-and,27
appliances-are,40
appliances-being,40
appliances-better,40
appliances-but,19
appliances-come,40
appliances-compatible,40
appliances-for,2
appliances-from,40
appliances-get,40
appliances-had,40
appliances-have,15
appliances-in,16
appliances-into,40
appliances-is,40
appliances-it,40
appliances-lasted,40
appliances-like,40
appliances-look,40
appliances-might,40
appliances-nicely,40
appliances-nowadays,40
appliances-on,40
appliances-online,40
appliances-or,40
appliances-perfectly,40
appliances-sharing,40
appliances-taking,40
appliances-that,40
appliances-the,40
appliances-these,40
appliances-through,40
appliances-to,40
appliances-today,40
appliances-use,40
appliances-we,40
appliances-well,40
appliances-when,40
appliances-which,40
appliances-will,40
appliances-with,40
application-and,40
application-of,40
applied-only,40
applied-the,40
applied-to,40
applies-after,40
apply-any,40
apply-for,40
apply-force,40
apply-pressure,40
apply-to,40
appointments-then,40
appreciate-anyone,40
appreciate-how,40
appreciate-is,40
appreciate-it,7
appreciate-more,40
appreciate-on,40
appreciate-that,40
appreciate-the,40
appreciate-what,40
appreciate-when,40
appreciate-your,40
appreciated-all,40
appreciated-internal,40
appreciated-on,40
appreciated-the,40
appreciates-a,40
apprehensive-about,40
apprehensive-when,40
approach-for,40
approach-started,40
approaching-the,40
appropriate-and,40
appropriate-channels,40
appropriate-department,40
appropriate-inserts,40
appropriate-kernel,40
appropriate-level,40
appropriate-preset,40
appropriate-racks,40
appropriate-revues,40
appropriate-verbal,40
appropriately-brown,40
approved-repair,40
approving-the,40
approximate-the,40
approximately-a,40
approximately-half,40
approximately-one,40
approximately-the,40
apps-and,12
apps-it,40
apt-and,2
apt-kitchen,40
apt-or,40
apt-since,40
apt-to,40
aptly-named,40
ara-si,40
arbitrary-amount,40
arbitrary-oven,40
arc-burn,40
arc-fault,23
arc-is,40
arcaic-to,40
arcing-and,40
arcing-at,40
arcing-behind,40
arcing-electricity,40
arcing-for,40
arcing-had,40
arcing-inside,15
arcing-like,40
arcing-or,40
arcing-there,40
arcing-when,40
arcs-of,40
arcs-seen,40
are-a,21
are-about,2
are-above,40
are-accessed,40
are-accurate,40
are-accustomed,40
are-achieved,40
are-actual,40
are-actually,40
are-adding,40
are-adequate,40
are-adjusting,40
are-advanced,40
are-affected,40
are-all,15
are-allimportant,40
are-almost,40
are-also,10
are-always,2
are-amazing,40
are-an,40
are-annoying,40
are-anxious,40
are-any,12
are-appearing,40
are-arranged,40
are-as,2
are-asleep,40
are-at,15
are-auto,40
are-back,40
are-baking,40
are-balanced,40
are-based,40
are-basically,2
are-because,40
are-being,21
are-better,40
are-big,40
are-black,21
are-boiling,40
are-bold,40
are-both,12
are-bringing,40
are-bubbling,40
are-built,40
are-burning,40
are-busy,40
are-but,40
are-buy,40
are-buying,40
are-careful,40
are-causing,40
are-charging,40
are-cheap,40
are-cheaper,40
are-chips,40
are-claiming,40
are-clearly,40
are-close,40
are-closer,40
are-cold,40
are-coming,40
are-common,40
are-comparable,40
are-comparing,40
are-complaining,40
are-completely,40
are-concentrated,40
are-concerned,40
are-considering,12
are-consistently,40
are-convection,40
are-convenient,40
are-cooking,7
are-cool,40
are-correct,40
are-cryptic,40
are-current,40
are-cut,40
are-cutting,40
are-dangerous,40
are-dark,40
are-debating,40
are-defective,40
are-definitely,40
are-defrosting,40
are-dehydration,40
are-delaying,40
are-delivering,40
are-designed,40
are-desperate,40
are-different,15
are-difficult,12
are-disabled,40
are-disconnected,40
are-displayed,40
are-doing,12
are-done,12
are-downsizing,40
are-dragging,40
are-driving,40
are-dry,40
are-easier,40
are-easily,40
are-easy,33
are-eating,40
are-either,40
are-enjoying,40
are-enough,40
are-equally,40
are-even,40
are-ever,40
are-exactly,40
are-excellent,40
are-exclusions,40
are-expected,40
are-expecting,40
are-expensive,40
are-experiencing,40
are-extremely,40
are-faced,40
are-falling,40
are-fed,40
are-few,40
are-fewer,40
are-fine,12
are-fingerprint,40
are-flawed,40
are-flaws,40
are-flickering,40
are-for,15
are-from,40
are-full,40
are-functioning,40
are-functions,40
are-garbage,40
are-generally,40
are-getting,15
are-given,40
are-giving,40
are-going,15
are-gone,40
are-good,40
are-gray,40
are-great,33
are-green,40
are-grey,40
are-grill,40
are-half,40
are-happy,23
are-har,40
are-hard,22
are-harder,40
are-having,40
are-heating,19
are-here,40
are-hesitating,40
are-high,40
are-highly,40
are-horrible,40
are-hot,40
are-huge,40
are-identical,40
are-implemented,40
are-important,40
are-impossible,2
are-improving,40
are-in,8
are-inaccurate,2
are-included,2
are-inconsistent,40
are-inexpensive,40
are-inherent,40
are-inside,2
are-instantaneously,40
are-interchangeable,40
are-into,40
are-intuitive,40
are-issues,2
are-items,40
are-junk,40
are-just,12
are-keeping,40
are-kind,40
are-known,40
are-laid,40
are-large,12
are-last,40
are-leaking,40
are-led,40
are-left,40
are-less,2
are-lies,40
are-lighter,40
are-like,40
are-likely,40
are-lilliputian,40
are-limited,2
are-limp,40
are-listed,40
are-lit,40
are-literally,40
are-locked,40
are-longer,2
are-looking,2
are-loose,40
are-losing,40
are-lots,12
are-loud,40
are-loving,40
are-made,12
are-manufactured,40
are-many,21
are-marginal,40
are-mentioning,40
are-metal,40
are-microwave,40
are-microwaving,40
are-mildly,40
are-minor,40
are-missing,40
are-more,12
are-much,40
are-multiple,40
are-my,12
are-nearly,40
are-needed,40
are-needing,40
are-nice,19
are-no,10
are-noisy,40
are-non,2
are-none,2
are-not,5
are-nothing,40
are-now,12
are-nowhere,40
are-obnoxiously,40
are-obsessed,40
are-of,40
are-often,40
are-ok,2
are-okay,40
are-old,40
are-on,15
are-one,40
are-only,28
are-opening,40
are-other,40
are-others,40
are-ours,40
are-out,2
are-outside,2
are-overly,40
are-particular,40
are-pathetic,40
are-pealing,40
are-perfect,40
are-perfectly,40
are-permanently,40
are-permeant,40
are-planning,40
are-plastic,40
are-pleasant,40
are-pleased,2
are-plenty,2
are-power,40
are-pressed,40
are-pressing,40
are-pretty,12
are-prevented,40
are-printed,40
are-probably,40
are-proud,40
are-pushed,12
are-pushing,40
are-quick,40
are-quite,40
are-rather,15
are-reading,40
are-ready,40
are-really,7
are-recessed,40
are-reduced,40
are-refurbished,40
are-reheating,40
are-related,40
are-relatively,40
are-remotely,40
are-replacing,40
are-required,40
are-resistant,40
are-responsible,40
are-returning,2
are-reversed,40
are-right,40
are-ripping,40
are-running,2
are-screen,40
are-sending,15
are-seniors,40
are-sensitive,2
are-seriously,40
are-set,40
are-setting,40
are-settling,40
are-several,2
are-shaped,40
are-sharp,40
are-silver,40
are-similar,40
are-simple,26
are-sitting,40
are-sleeping,40
are-slightly,40
are-small,40
are-smaller,40
are-sneaking,40
are-so,5
are-soft,40
are-some,7
are-somehow,40
are-sometimes,2
are-somewhat,15
are-sparks,40
are-spot,40
are-squared,40
are-starting,40
are-still,23
are-strapped,40
are-stuck,21
are-such,40
are-super,12
are-supposed,10
are-taking,40
are-targeted,40
are-terrible,15
are-that,19
are-the,1
are-there,40
are-these,12
are-things,40
are-thinking,40
are-three,12
are-thus,40
are-to,21
are-too,10
are-total,40
are-totally,12
are-tough,40
are-transferring,40
are-truly,2
are-trying,19
are-two,10
are-twofold,40
are-typically,40
are-typos,40
are-unable,40
are-uncooperative,40
are-uneven,40
are-unevenly,40
are-unwilling,40
are-updating,40
are-upping,40
are-upstairs,40
are-use,40
are-used,7
are-useful,40
are-useless,2
are-using,3
are-usually,40
are-very,11
are-visible,40
are-vision,40
are-waiting,40
are-warm,40
are-way,40
are-we,40
are-weak,40
are-wearing,40
are-weight,40
are-well,40
are-wholly,40
are-wildly,40
are-with,2
are-working,40
are-worn,40
are-worth,40
are-worthless,40
are-written,40
are-yet,40
are-you,40
are-zero,40
area-about,40
area-and,26
area-because,40
area-but,40
area-by,2
area-cannot,40
area-in,2
area-is,40
area-just,40
area-kitchen,40
area-of,32
area-on,10
area-seems,40
area-shows,40
area-so,40
area-that,40
area-the,15
area-to,21
area-underneath,40
area-waiting,40
area-was,40
area-were,40
area-where,12
area-with,2
areas-for,40
areas-in,40
areas-that,2
argue-with,40
arguing-that,40
arguing-to,40
argument-with,40
arking-and,40
arking-but,40
arm-and,40
arm-angled,40
arm-exists,40
arm-inside,40
arm-is,40
arm-to,40
arm-you,40
arms-spin,40
arms-the,40
aroma-to,40
around-a,2
around-and,15
around-as,12
around-at,2
around-because,2
around-begins,40
around-but,2
around-by,40
around-compared,40
around-due,40
around-easier,40
around-eighty,40
around-for,26
around-four,40
around-from,40
around-good,40
around-i,16
around-if,40
around-in,26
around-inside,15
around-it,12
around-its,40
around-just,2
around-my,15
around-on,2
around-once,2
around-or,2
around-pushing,40
around-so,40
around-that,40
around-the,9
around-this,2
around-time,40
around-to,10
around-too,40
around-town,40
around-until,40
around-what,40
around-when,15
around-with,25
around-without,40
around-you,2
arpt-that,40
arrange-and,40
arrange-it,40
arranged-on,40
arranged-the,40
arrangement-was,40
array-of,40
arrival-and,40
arrival-things,40
arrive-all,40
arrive-damaged,40
arrive-from,40
arrive-in,40
arrive-on,40
arrive-the,40
arrive-we,2
arrive-within,40
arrived-a,2
arrived-and,21
arrived-are,40
arrived-at,40
arrived-boxed,40
arrived-broken,19
arrived-damaged,40
arrived-defective,40
arrived-dented,40
arrived-did,40
arrived-extremely,40
arrived-fast,2
arrived-free,40
arrived-had,40
arrived-here,2
arrived-in,8
arrived-it,40
arrived-just,2
arrived-like,40
arrived-looking,40
arrived-missing,40
arrived-on,15
arrived-packaged,40
arrived-packed,40
arrived-perfect,40
arrived-promptly,2
arrived-quickly,40
arrived-shattered,40
arrived-smashed,40
arrived-so,15
arrived-the,40
arrived-today,40
arrived-two,40
arrived-very,40
arrived-with,21
arrived-within,40
arrived-without,40
arrived-yesterday,12
arrives-and,40
arrives-another,40
arrives-as,40
arrives-it,40
arrives-the,40
arrives-whenever,40
arriving-as,40
arriving-damaged,40
arriving-for,40
arriving-to,40
arrows-pointing,40
arruino-ya,40
art-and,40
artful-noise,40
arthiritis-which,40
arthritic-fingers,40
arthritic-hands,40
arthritis-and,40
article-suggested,40
ary-frying,40
as-a,11
as-according,40
as-advertised,6
as-after,40
